a52dec 0.7.4-11
mobile-broadband-provider-info 20201225-1
modemmanager 1.14.8-1
mpc 0.33-3
mpd 0.22.3-2
mpfr 4.1.0-1
mpg123 1.26.3-2
mplayer 38157-3
mpv 1:0.33.0-3
mtdev 1.1.6-1
mtools 4.0.26-1
mujs 1.0.9-1
nano 5.4-1
nautilus 3.38.2-1
nautilus-sendto 3.8.6+28+gc87aac4-1
ncmpcpp 0.9-2
ncurses 6.2-1
ndctl 71.1-1
ndisc6 1.0.4-2
neofetch 7.1.0-2
neomutt 20201127-1
neon 0.31.2-1
net-tools 1.60.20181103git-2
netcdf 4.7.4-1
netctl 1.24-1
nettle 3.6-1
network-manager-applet 1.18.0-1
networkmanager 1.26.4-1
networkmanager-openvpn 1.8.12-1
nm-connection-editor 1.18.0-1
node-gyp 7.1.1-1
nodejs 15.5.0-1
notmuch-runtime 0.31-3
noto-fonts 20201206-1
noto-fonts-cjk 20201206-1
npm 6.14.10-1
npth 1.6-2
nspr 4.29-1
nss 3.60-1
nss-mdns 0.14.1-3
ntfs-3g 2017.3.23-5
oniguruma 6.9.6-1
openal 1.21.0-1
openconnect 1:8.10-1
opencore-amr 0.1.5-5
openexr 2.5.3-6
openjpeg2 2.4.0-1
openmpi 4.0.5-2
openresolv 3.11.0-1
openssh 8.4p1-2
openssl 1.1.1.i-2
openssl-1.0 1.0.2.u-1
openvpn 2.5.0-3
optipng 0.7.7-2
opus 1.3.1-2
opusfile 0.12-1
orc 0.4.32-1
os-prober 1.77-2
osinfo-db 20201015-1
ospray 1.8.5-1
otf-font-awesome 5.15.1-1
p11-kit 0.23.22-1
pacman 5.2.2-1
pacman-contrib 1.4.0-1
pacman-mirrorlist 20201205-1
pam 1.5.0-2
pambase 20200721.1-2
pango 1:1.48.0-1
pangomm 2.42.2-1
paper-icon-theme 1.5.0-2
papirus-icon-theme 20210101-1
paprefs 1.1-2
paraview 5.8.1-3
parcellite 1.2.1-4
parted 3.3-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.36-1
pcsclite 1.9.0-1
pcurses 5-2
pdal 2.2.0-1
perl 5.32.0-3
perl-alien-build 2.37-1
perl-alien-libxml2 0.17-1
perl-autovivification 0.18-6
perl-b-hooks-endofscope 0.24-3
perl-business-isbn 3.004-7
perl-business-isbn-data 20140910.003-7
perl-business-ismn 1.201-4
perl-business-issn 1.003-4
perl-capture-tiny 0.48-4
perl-class-accessor 0.51-2
perl-class-data-inheritable 0.08-9
perl-class-factory-util 1.7-10
perl-class-inspector 1.36-3
perl-class-load 0.25-2
perl-class-singleton 1.5-4
perl-clone 0.45-2
perl-data-compare 1.25-8
perl-data-dump 1.23-6
perl-data-optlist 0.110-6
perl-data-uniqid 0.12-8
perl-datetime 1.52-1
perl-datetime-calendar-julian 0.04-6
perl-datetime-format-builder 0.8100-7
perl-datetime-format-strptime 1.75-4
perl-datetime-locale 1.22-2
perl-datetime-timezone 2.35-2
perl-devel-stacktrace 2.03-4
perl-dist-checkconflicts 0.11-6
perl-encode-locale 1.05-7
perl-error 0.17029-2
perl-eval-closure 0.14-6
perl-exception-class 1.44-4
perl-exporter-tiny 1.002002-2
perl-ffi-checklib 0.27-2
perl-file-chdir 0.1011-4
perl-file-find-rule 0.34-7
perl-file-listing 6.11-1
perl-file-sharedir 1.116-4
perl-file-sharedir-install 0.13-4
perl-file-slurp-tiny 0.004-6
perl-file-slurper 0.012-4
perl-file-which 1.23-4
perl-html-parser 3.75-1
perl-html-tagset 3.20-10
perl-http-cookies 6.09-1
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.26-1
perl-http-negotiate 6.01-8
perl-inc-latest 0.500-7
perl-io-html 1.004-1
perl-io-socket-ssl 2.067-2
perl-io-string 1.08-12
perl-ipc-run3 0.048-8
perl-libwww 6.51-1
perl-lingua-translit 0.28-5
perl-list-allutils 0.16-2
perl-list-moreutils 0.430-1
perl-list-moreutils-xs 0.430-1
perl-list-someutils 0.56-4
perl-list-utilsby 0.11-4
perl-log-log4perl 1.53-1
perl-lwp-mediatypes 6.02-8
perl-lwp-protocol-https 6.10-1
perl-mailtools 2.21-4
perl-math-round 0.07-4
perl-mime-charset 1.012.2-7
perl-module-build 0.4231-3
perl-module-implementation 0.09-6
perl-module-runtime 0.016-2
perl-mozilla-ca 20200520-3
perl-mro-compat 0.13-5
perl-namespace-autoclean 0.29-2
perl-namespace-clean 0.27-6
perl-net-http 6.19-4
perl-net-ssleay 1.88-2
perl-number-compare 0.03-10
perl-package-deprecationmanager 0.17-6
perl-package-stash 0.39-1
perl-package-stash-xs 0.29-4
perl-params-util 1.102-1
perl-params-validate 1.29-5
perl-params-validationcompiler 0.30-3
perl-parse-recdescent 1.967015-2
perl-path-tiny 0.114-1
perl-perlio-utf8-strict 0.007-6
perl-regexp-common 2017060201-3
perl-role-tiny 2.001004-2
perl-sort-key 1.33-9
perl-specio 0.43-2
perl-sub-exporter 0.987-6
perl-sub-exporter-progressive 0.001013-6
perl-sub-identify 0.14-8
perl-sub-install 0.928-6
perl-sub-name 0.26-2
perl-test-fatal 0.016-1
perl-text-bibtex 0.85-6
perl-text-csv 1.97-4
perl-text-glob 0.11-7
perl-text-roman 3.5-7
perl-tie-cycle 1.225-5
perl-timedate 2.33-2
perl-try-tiny 0.30-5
perl-unicode-linebreak 2019.001-3
perl-uri 5.05-1
perl-variable-magic 0.62-5
perl-www-robotrules 6.02-8
perl-xml-libxml 2.0206-1
perl-xml-libxml-simple 0.99-4
perl-xml-libxslt 1.99-2
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-2
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-writer 0.625-6
picom 8.2-1
pinentry 1.1.0-5
pixman 0.40.0-1
pkcs11-helper 1.27.0-1
pkgconf 1.7.3-1
podofo 0.9.6-3
polkit 0.118-1
polkit-gnome 0.105-5
poppler 20.12.1-1
poppler-glib 20.12.1-1
popt 1.18-1
portaudio 1:19.6.0-7
portmidi 217-9
postgresql-libs 13.1-3
potrace 1.16-2
ppp 2.4.7-7
pptpclient 1.10.0-2
procps-ng 3.3.16-2
proj 6.3.2-1
protobuf 3.12.4-3
psmisc 23.3-4
pugixml 1.11.4-1
pulseaudio 14.0-1
pulseaudio-bluetooth 14.0-1
python 3.9.1-1
python-ansicolor 0.2.6-9
python-appdirs 1.4.4-3
python-apsw 3.34.0-1
python-argon2_cffi 20.1.0-3
python-asn1crypto 1.4.0-3
python-async_generator 1.10-5
python-attrs 20.3.0-3
python-backcall 0.2.0-3
python-beaker 1.11.0-6
python-beautifulsoup4 4.9.3-3
python-bleach 3.2.1-3
python-cachecontrol 0.12.6-3
python-cairo 1.20.0-3
python-cffi 1.14.4-1
python-chardet 3.0.4-7
python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 3.3.1-1
python-css-parser 1.0.6-3
python-cssselect 1.1.0-6
python-cycler 0.10.0-8
python-dateutil 2.8.1-5
python-dbus 1.2.16-3
python-dbus-common 1.2.16-3
python-decorator 4.4.2-3
python-defusedxml 0.6.0-6
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-dnspython 1:1.16.0-3
python-docopt 0.6.2-9
python-entrypoints 0.3-5
python-feedparser 5.2.1-9
python-future 0.18.2-5
python-gobject 3.38.0-3
python-greenlet 0.4.17-3
python-html2text 2020.1.16-3
python-html5-parser 0.4.9-5
python-html5lib 1.1-5
python-idna 2.10-3
python-ifaddr 0.1.7-3
python-importlib-metadata 3.3.0-1
python-ipykernel 5.3.4-3
python-ipywidgets 7.5.1-6
python-jedi 0.17.2-3
python-jinja 2.11.2-4
python-jsonschema 3.2.0-4
python-jupyter_client 6.1.7-3
python-jupyter_core 4.6.3-4
python-kiwisolver 1.3.1-3
python-lxml 4.6.2-1
python-mako 1.1.3-3
python-markdown 3.3.3-2
python-markupsafe 1.1.1-6
python-matplotlib 3.3.3-2
python-mechanize 1:0.4.5-4
python-mistune 0.8.4-5
python-mpi4py 3.0.3-3
python-msgpack 1.0.2-2
python-nest_asyncio 1.4.3-2
python-netifaces 0.10.9-6
python-numpy 1.19.4-3
python-ordered-set 4.0.2-3
python-packaging 20.8-2
python-pandocfilters 1.4.3-3
